UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.201, hostname=62.40.114.11, capacity=9953000000, capacityValueUnits=null, direction=out, description=Link (L) to HU-GN2, startTime=1397080843955, endTime=1397098903955, name=ae5.0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=0, endTime=0, name=pime, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=null, dataSourceMinValue=0, dataSourceHeartbeat=0, dataSourceStep=0, dataSourceMaxValue=0, dataSourceType=null]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=0, endTime=0, name=pime, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=null, dataSourceMinValue=0, dataSourceHeartbeat=0, dataSourceStep=0, dataSourceMaxValue=0, dataSourceType=null]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=as2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=as2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=19906000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=1000000000, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=1000000000, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=ge-0/2/0, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=1000000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=in, description=, startTime=1397080843955, endTime=1397098903955, name=ae1, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=39813000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=, hostname=62.40.114.3, capacity=0, capacityValueUnits=null, direction=out, description=, startTime=1397080843955, endTime=1397098903955, name=ae1, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=39813000000, dataSourceType=COUNTER]
UtilizationInterface [ipType=ipv4, ipAddress=62.40.112.13, hostname=62.40.114.3, capacity=70000000000, capacityValueUnits=null, direction=in, description=Link (AggEthernet) to MX1.GEN.CH (AE3), startTime=1397080843955, endTime=1397098903955, name=ae2, uri=http://prod-rrd-ma.geant.net:8080/perfsonar-java-rrd-ma/services/MeasurementArchiveService, mid=null, data=[], dataSourceMinValue=0, dataSourceHeartbeat=600, dataSourceStep=300, dataSourceMaxValue=20000000000, dataSourceType=COUNTER]
